row ID,Activity,a_acc,a_don,density,FCharge,logP(o/w),logS,PC+,PC-,TPSA,Weight
1674,0,0.075,0,0.096271,0,0.474531,0.855444,0,0,0.027893,0.06152
1675,0,0.05,0,0.085272,0,0.480296,0.800757,0,0,0.056711,0.100718
1676,1,0.075,0.04,0.144935,0,0.633141,0.517513,0,0,0.064475,0.289865
1680,0,0,0.08,0.043514,0,0.627701,0.616942,0,0,0.066891,0.162293
1682,0,0.05,0,0.155146,0,0.695352,0.514036,0,0,0.064076,0.335784
1685,0,0.075,0,0.109382,0,0.588411,0.643016,0,0,0.055361,0.181791
1689,0,0.05,0.04,0.06906,0,0.524819,0.768623,0,0,0.037867,0.066946
1690,0,0.1,0.08,0.069999,0,0.576851,0.684339,0,0,0.068896,0.228001
1692,0,0,0,0.161437,0,0.557783,0.709279,0,0,0,0.086746
1693,0,0,0,0.021874,0,0.558158,0.735374,0,0,0,0.047672
1695,1,0.05,0.04,0.059307,0,0.614782,0.585185,0,0,0.063511,0.187588
1696,0,0,0,0.082167,0,0.645953,0.582818,0,0,0,0.160353
1698,0,0.025,0.04,0.041181,0,0.541818,0.745745,0,0,0.015463,0.089298
1699,0,0,0,0.021874,0,0.577254,0.713565,0,0,0,0.056121
1700,0,0.025,0.04,0.053076,0,0.525085,0.770756,0,0,0.026003,0.048859
1701,1,0.1,0.04,0.096567,0,0.552373,0.66008,0,0,0.087779,0.189978
1704,0,0,0,0.021874,0,0.559252,0.735374,0,0,0,0.047672
1705,0,0.025,0.08,0.052516,0,0.625277,0.592897,0,0,0.050284,0.158031
1707,0,0,0.04,0.040198,0,0.523016,0.773725,0,0,0.033446,0.056716
1708,0,0,0.04,0.038458,0,0.537058,0.751916,0,0,0.033446,0.065165
1710,0,0,0,0.021874,0,0.544296,0.755434,0,0,0,0.039222
1711,0,0,0,0.021874,0,0.577194,0.713565,0,0,0,0.056121
1712,0,0,0.04,0.042346,0,0.514265,0.780518,0,0,0.033446,0.048267
1713,0,0.025,0.04,0.053076,0,0.525026,0.784024,0,0,0.026003,0.048859
1714,0,0.15,0.04,0.071602,0,0.60099,0.648176,0,0,0.067084,0.264792
1715,0,0.15,0.04,0.071602,0,0.60099,0.648176,0,0,0.067084,0.264792
1716,0,0.125,0.16,0.127511,0,0.478522,0.818077,0,0,0.112458,0.092835
1717,0,0.125,0.12,0.096,0,0.525824,0.739106,0,0,0.117805,0.149554
1718,0,0.025,0,0.067404,0,0.482543,0.838528,0,0,0.016106,0.018706
1719,0,0.025,0,0.125682,0,0.490318,0.824037,0,0,0.04567,0.045215
1721,0,0.075,0.12,0.1729,0,0.476955,0.735417,0,0,0.130196,0.149799
1723,0,0.1,0.12,0.20657,0,0.470924,0.748461,0,0,0.152138,0.171517
1724,0,0.05,0.04,0.093928,0,0.473141,0.773493,0,0,0.091262,0.075412
1725,0,0.05,0,0.054679,0,0.488728,0.868745,0,0,0.033137,0.048862
1726,0,0.05,0,0.051166,0,0.507824,0.860204,0,0,0.033137,0.057311
1727,1,0.1,0,0.086282,0,0.582853,0.648783,0,0,0.066351,0.258388
1729,0,0.1,0.08,0.152905,0,0.510214,0.733175,0,0,0.125929,0.146559
1730,0,0.325,0.16,0.09787,0,0.547369,0.690563,0,0,0.235109,0.425811
1731,0,0.325,0.2,0.101211,0,0.536615,0.705174,0,0,0.249248,0.417362
1732,0,0.325,0.2,0.095015,0,0.556364,0.699675,0,0,0.231471,0.426432
1735,0,0.05,0.04,0.290833,0,0.646593,0.557956,0,0,0.064835,0.287344
1738,0,0,0,0.262068,0,0.514265,0.804578,0,0,0,0.049357
1739,0,0.025,0,0.046425,0,0.484967,0.828259,0,0,0.021941,0.027155
